En_Id,En_Sentence,De_Id,De_Sentence
1008,Good morning.,1275,Guten Morgen.
1009,How are you?,1276,Wie geht es Ihnen?
1010,"It's been great, hasn't it?",1277,"Es war großartig, nicht wahr?"
1011,I've been blown away by the whole thing.,1278,Die ganze Sache hier hat mich umgehauen.
1012,"In fact, I'm leaving.",1279,Also ich gehe jetzt.
1013,There have been three themes running through the conference which are relevant to what I want to talk about.,1280,"Es gab drei Leitmotive, die sich durch die Konferenz zogen, die wichtig sind für das, worüber ich sprechen will."
1014,One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here.,1281,"Eines sind die überwältigenden Zeugnisse menschlicher Kreativität in allen Vorträgen, die wir gehört haben und in allen Menschen hier -- allein ihre Vielfalt und ihre Bandbreite."
1015,Just the variety of it and the range of it.,1281,"Eines sind die überwältigenden Zeugnisse menschlicher Kreativität in allen Vorträgen, die wir gehört haben und in allen Menschen hier -- allein ihre Vielfalt und ihre Bandbreite."
1016,"The second is that it's put us in a place where we have no idea what's going to happen, in terms of the future.",1282,"Zweitens befinden wir uns an einem Punkt, an dem wir keine Ahnung haben, wie es in Zukunft weitergeht."
1017,No idea how this may play out.,1283,"Keine Ahnung, wie das enden wird."
1018,I have an interest in education.,1284,Ich interessiere mich für Bildung.
1019,"Actually, what I find is everybody has an interest in education.",1285,"Im Grunde finde ich, dass sich eigentlich jeder für Bildung interessiert."
1020,Don't you?,1286,Finden Sie nicht auch?
1021,I find this very interesting.,1287,Das ist recht bemerkenswert.
1022,"If you're at a dinner party, and you say you work in education -- ",1288,"Wenn Sie auf einer Dinner-Party sind und erzählen, dass sie im Bildungswesen arbeiten -- offen gesagt, ist man nicht oft bei Dinner-Parties, wenn man im Bildungswesen arbeitet."
1023,"Actually, you're not often at dinner parties, frankly.",1288,"Wenn Sie auf einer Dinner-Party sind und erzählen, dass sie im Bildungswesen arbeiten -- offen gesagt, ist man nicht oft bei Dinner-Parties, wenn man im Bildungswesen arbeitet."
1024,"If you work in education, you're not asked.",1289,Man wird erst gar nicht eingeladen.
1025,"And you're never asked back, curiously.",1290,"Auf jeden Fall nicht zweimal, seltsamerweise."
1026,That's strange to me.,1291,Das ist merkwürdig.
