En_Id,En_Sentence,Pt_Id,Pt_Sentence,De_Id,De_Sentence
1008,Good morning.,737,Bom dia.,1275,Guten Morgen.
1009,How are you?,738,Como estão?,1276,Wie geht es Ihnen?
1010,"It's been great, hasn't it?",739,"Tem sido ótimo, não tem?",1277,"Es wahr großartig, nicht wahr?"
1011,I've been blown away by the whole thing.,740,Fiquei maravilhado com a coisa toda.,1278,Die ganze Sache hier hat mich umgehauen.
1012,"In fact, I'm leaving.",741,"Na verdade, estou indo embora.",1279,Also ich gehe jetzt.
1013,There have been three themes running through the conference which are relevant to what I want to talk about.,742,Existem três tópicos abordados ao longo da conferência que são relevantes para o que eu vou falar.,1280,"Es gab drei Leitmotive, die sich durch die Konferenz zogen, die wichtig sind für das, worüber ich sprechen will."
1014,One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here.,743,O primeiro é a extraordinária evidência da criatividade humana em todas as apresentações que tivemos e em todas as pessoas presentes.,1281,"Eines sind die überwältigenden Zeugnisse menschlicher Kreativität in allen Vorträgen, die wir gehört haben und in allen Menschen hier -- allein ihre Vielfalt und ihre Bandbreite."
1015,Just the variety of it and the range of it.,744,Sua variedade e multiplicidade.,1281,"Eines sind die überwältigenden Zeugnisse menschlicher Kreativität in allen Vorträgen, die wir gehört haben und in allen Menschen hier -- allein ihre Vielfalt und ihre Bandbreite."
1016,"The second is that it's put us in a place where we have no idea what's going to happen, in terms of the future.",745,O segundo é o fato de que não fazemos a menor idéia do que vai acontecer no futuro.,1282,"Zweitens befinden wir uns an einem Punkt, an dem wir keine Ahnung haben, wie es in Zukunft weitergeht."
1017,No idea how this may play out.,746,Nenhuma idéia do que nos espera.,1283,"Keine Ahnung, wie das enden wird."
1018,I have an interest in education.,747,Eu me interesso por educação.,1284,Ich interessiere mich für Bildung.
1019,"Actually, what I find is everybody has an interest in education.",748,"Na verdade, eu descobri que todo mundo se interessa por educação.",1285,"Im Grunde finde ich, dass sich eigentlich jeder für Bildung interessiert."
1020,Don't you?,749,Vocês não?,1286,Finden Sie nicht auch?
1021,I find this very interesting.,750,Eu acho isso muito interessante.,1287,Das ist recht bemerkenswert.
1022,"If you're at a dinner party, and you say you work in education --",751,Se você estiver numa festa e disser que trabalha com educação...,1288,"Wenn Sie auf einer Dinner-Party sind und erzählen, dass sie im Bildungswesen arbeiten -- offen gesagt, ist man nicht oft bei Dinner-Parties, wenn man im Bildungswesen arbeitet."
1023,"Actually, you're not often at dinner parties, frankly.",752,"Na verdade, você não vai a muitas festas se trabalha com educação.",1288,"Wenn Sie auf einer Dinner-Party sind und erzählen, dass sie im Bildungswesen arbeiten -- offen gesagt, ist man nicht oft bei Dinner-Parties, wenn man im Bildungswesen arbeitet."
1024,"If you work in education, you're not asked.",753,Não é convidado.,1289,Man wird erst gar nicht eingeladen.
1025,"And you're never asked back, curiously.",754,E curiosamente ninguém te convida de novo.,1290,"Auf jeden Fall nicht zweimal, seltsamerweise."
1026,That's strange to me.,755,Acho isso estranho.,1291,Das ist merkwürdig.
1027,"But if you are, and you say to somebody, you know, they say, 'What do you do?'and you say you work in education, you can see the blood run from their face.",756,"Mas se você estiver, e contar para alguém...",1292,"Sind Sie aber eingeladen und reden mit jemandem, also wenn jemand fragt: 'Was machen Sie so?'und Sie: 'Ich arbeite im Bildungswesen', sieht man, wie den anderen das Blut aus dem Gesicht weicht."
1027,"But if you are, and you say to somebody, you know, they say, 'What do you do?'and you say you work in education, you can see the blood run from their face.",757,"Quando perguntam 'O que você faz?',e você responde que trabalha com educação, dá pra ver a pessoa ficar pálida na hora.",1292,"Sind Sie aber eingeladen und reden mit jemandem, also wenn jemand fragt: 'Was machen Sie so?'und Sie: 'Ich arbeite im Bildungswesen', sieht man, wie den anderen das Blut aus dem Gesicht weicht."
1028,"They're like, 'Oh my God,' you know, 'Why me?'",758,Elas pensam: 'Ai meu Deus! Por que eu? Logo hoje que eu saí de casa.',1293,"Oh Gott, warum ich?"
1029,'My one night out all week.',758,Elas pensam: 'Ai meu Deus! Por que eu? Logo hoje que eu saí de casa.',1294,'Mein einziger freier Abend in der Woche.'
1030,"But if you ask about their education, they pin you to the wall.",759,"Mas se você perguntar sobre a educação deles, eles te põem contra a parede.",1295,"Fragen Sie sie nach ihrer Schulbildung, nageln sie Sie an die Wand."
1031,"Because it's one of those things that goes deep with people, am I right?",760,"Porque é uma dessas coisas arraigadas nas pessoas, estou certo? Como religião, dinheiro e outras coisas.",1296,"Denn es ist eines dieser Themen, die Leute tief berühren, wie Religion, Geld und andere Sachen."
1032,"Like religion, and money and other things.",760,"Porque é uma dessas coisas arraigadas nas pessoas, estou certo? Como religião, dinheiro e outras coisas.",1296,"Denn es ist eines dieser Themen, die Leute tief berühren, wie Religion, Geld und andere Sachen."
1033,"So I have a big interest in education, and I think we all do.",761,"Eu tenho um grande interesse em educação, e acho que todos temos.",1297,"Ich habe ein großes Interesse an Bildung, und ich denke, das haben wir alle."
1034,"We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp.",762,Nos interessamos tanto por ela em parte porque é da educação o papel de nos conduzir a esse futuro misterioso.,1298,"Wir haben ein großes, persönliches Interesse, teilweise Bildung dazu gedacht ist, uns in diese Zukunft zu bringen, die wir nicht fassen können."
1035,"If you think of it, children starting school this year will be retiring in 2065.",763,"Se formos pensar, as crianças entrando na escola esse ano estarão se aposentando em 2065.",1299,"Denken Sie nur: Kinder, die dieses Jahr in die Schule kommen, werden im Jahr 2065 in Rente gehen."
1036,"Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time.",764,"Ninguém tem noção, apesar de todo conhecimento que vimos nos últimos quatro dias, de como o mundo vai estar em cinco anos.",1300,"Keiner hat eine Ahnung, trotz jeglicher Expertise, die wir die letzten vier Tage erleben durften, wie die Welt in fünf Jahren aussehen wird."
1037,And yet we're meant to be educating them for it.,765,E ainda assim devemos educá-los para esse mundo.,1301,Und trotzdem sollen wir sie dafür ausbilden.
1038,"So the unpredictability, I think, is extraordinary.",766,"A imprevisibilidade, pra mim, é extraordinária.",1302,"Die Unvorhersagbarkeit ist, finde ich, atemberaubend."
1039,"And the third part of this is that we've all agreed, nonetheless, on the really extraordinary capacities that children have -- their capacities for innovation.",767,"A terceira coisa é que nós todos concordamos, apesar de tudo, com a capacidade extraordinária que as crianças têm.",1303,"Und das dritte Thema ist, dass wir uns trotzdem alle einig sind, dass Kinder wirklich außergewöhnliche Fähigkeiten haben -- Fähigkeiten, neue Wege zu gehen."
